SOURCE_ID,ra,dec,distance_gspphot,phot_g_mean_mag,teff_gspphot
5164707970261890560,53.22829341517546,-9.458168216292322,3.2179,3.465752,5002.0435
4468557611984384512,271.364453818457,2.495224095912567,5.1193,3.987364,5204.636
425040000962559616,12.285227381524425,57.81272812559009,5.9149,3.3200667,5726.01
6427464123776727168,302.19503988923026,-66.18709128441725,6.099,3.3641381,5437.5474
3288921720025503360,72.46212402119102,6.9613310085374644,8.016,3.0879216,6154.11
2964000159821218432,86.11439122579156,-22.45002336420253,8.9121,3.476823,6149.223
436648129327098496,47.27540485964256,49.612873858437766,10.5637,3.9026392,5873.7397
3796442680948579328,177.67712091756832,1.763518531662046,11.0006,3.468565,6000.8833
438829629114680704,41.05222216366374,49.22805187168278,11.1384,3.9830012,6281.219
1193030490492925824,239.11469743534354,15.655912590196278,11.167,3.694426,6182.6055
1891598193816300544,331.7542260532072,25.34522096646813,11.9372,3.6638713,6316.102
3683687763520080384,190.41242708810614,-1.4490230625523142,12.1133,3.4332993,6740.179
348020482735930112,24.198321215249642,41.4037617615712,13.5205,3.966133,6096.4243
2756363608023588864,354.9893506001899,5.6243516012277475,13.8409,3.9992578,6149.203
5059348952161258624,48.020701120552644,-28.98487006133274,14.0039,3.8014393,6080.855
1604859511344724864,216.2974561533579,51.84896726025888,14.502,3.9172292,6135.789
1014058103758571520,134.7989643318015,48.040871471105525,14.7754,3.120973,7498.3286
2995725777563537792,89.10103276512667,-14.16708077541103,14.8215,3.635856,6887.405
3489338019475637760,182.10387983595368,-24.72905347552688,14.9495,3.946629,6900.1777
5205029672996886016,156.0985242578028,-74.0317374526645,16.2576,3.9097652,6786.9897
5210240327318434304,124.63363893110254,-76.9192479593938,19.5077,3.949889,6532.6333
4792774797545800832,86.82123452009108,-51.066136257823345,19.8294,3.8232422,7938.053
1623289903206300928,240.46954398425984,58.56673458360329,21.3807,3.869275,6051.014
4426032591025363200,237.7045892801561,4.478006603862712,21.586,3.699778,8196.269
5965222838410499328,258.03844060290766,-43.240469434978955,21.8956,3.2345328,6423.101
